ReservationDetailID,ReservationID,RoomTypeID,Record_Rate,OrderQty
100000445,100000445,1,248,2
100000446,100000446,1,298,3
100000447,100000447,5,318,4
100000448,100000448,5,115,2
100000449,100000449,1,455,2
100000450,100000450,1,463,2
100000451,100000451,5,319,2
100000452,100000452,2,514,3
100000453,100000453,5,384,3
100000454,100000454,1,542,4
100000455,100000455,5,251,2
100000456,100000456,1,249,4
100000457,100000457,1,138,1
100000458,100000458,3,422,1
100000459,100000459,5,415,4
100000460,100000460,2,548,4
100000461,100000461,5,125,2
100000462,100000462,5,378,2
100000463,100000463,4,381,4
100000464,100000464,3,324,4
100000465,100000465,2,319,3
100000466,100000466,2,387,2
100000467,100000467,3,117,4
100000468,100000468,4,337,4
100000469,100000469,1,501,2
100000470,100000470,1,497,1
100000471,100000471,5,188,4
100000472,100000472,1,527,4
100000473,100000473,4,514,2
100000474,100000474,5,399,3
100000475,100000475,1,360,3
100000476,100000476,2,320,4
100000477,100000477,3,105,2
100000478,100000478,3,316,3
100000479,100000479,4,374,1
100000480,100000480,2,131,4
100000481,100000481,5,421,3
100000482,100000482,1,479,1
100000483,100000483,1,234,3
100000484,100000484,4,531,3
100000485,100000485,1,435,2
100000486,100000486,5,395,2
100000487,100000487,4,365,4
100000488,100000488,2,217,2
100000489,100000489,2,394,1
100000490,100000490,5,331,3
100000491,100000491,5,550,4
100000492,100000492,3,442,4
100000493,100000493,3,249,1
100000494,100000494,4,464,3
100000495,100000495,5,419,2
100000496,100000496,5,338,2
100000497,100000497,5,198,1
100000498,100000498,2,123,2
100000499,100000499,3,477,2
100000500,100000500,1,310,1
100000501,100000501,3,444,2
100000502,100000502,4,489,2
100000503,100000503,5,297,4
100000504,100000504,2,277,1
100000505,100000505,3,432,1
100000506,100000506,1,119,2
100000507,100000507,3,421,2
100000508,100000508,3,155,3
100000509,100000509,2,284,4
100000510,100000510,2,118,3
100000511,100000511,3,265,4
100000512,100000512,4,438,1
100000513,100000513,2,171,1
100000514,100000514,4,302,3
100000515,100000515,5,372,3
100000516,100000516,3,161,3
100000517,100000517,5,524,2
100000518,100000518,3,478,3
100000519,100000519,3,514,1
100000520,100000520,2,204,2
100000521,100000521,3,206,2
100000522,100000522,4,280,4
100000523,100000523,3,431,4
100000524,100000524,1,446,2
100000525,100000525,3,278,1
100000526,100000526,2,433,4
100000527,100000527,2,334,1
100000528,100000528,2,118,1
100000529,100000529,5,502,3
100000530,100000530,4,195,2
100000531,100000531,5,535,2
100000532,100000532,1,130,4
100000533,100000533,1,128,1
100000534,100000534,3,474,2
100000535,100000535,1,103,1
100000536,100000536,5,432,2
100000537,100000537,3,161,4
100000538,100000538,2,426,2
100000539,100000539,1,104,3
100000540,100000540,4,136,3
100000541,100000541,1,221,2
100000542,100000542,1,536,1
100000543,100000543,2,257,4
100000544,100000544,1,346,1
100000545,100000545,4,388,2
100000546,100000546,1,447,3
100000547,100000547,5,135,3
100000548,100000548,2,379,1
100000549,100000549,5,463,4
100000550,100000550,1,156,2
100000551,100000551,1,158,1
100000552,100000552,2,339,1
100000553,100000553,5,144,2
100000554,100000554,4,427,3
100000555,100000555,1,173,2
100000556,100000556,2,357,3
100000557,100000557,1,498,2
100000558,100000558,5,480,3
100000559,100000559,2,244,2
100000560,100000560,2,397,3
100000561,100000561,4,113,3
100000562,100000562,4,184,1
100000563,100000563,3,414,2
100000564,100000564,1,347,2
100000565,100000565,3,119,3
100000566,100000566,1,482,1
100000567,100000567,3,105,4
100000568,100000568,3,128,1
100000569,100000569,5,140,2
100000570,100000570,4,428,3
100000571,100000571,3,107,3
100000572,100000572,3,193,2
100000573,100000573,3,286,3
100000574,100000574,5,210,4
100000575,100000575,2,516,4
100000576,100000576,4,320,4
100000577,100000577,4,165,4
100000578,100000578,1,451,4
100000579,100000579,2,355,2
100000580,100000580,5,527,3
100000581,100000581,4,411,1
100000582,100000582,3,382,4
100000583,100000583,5,312,3
100000584,100000584,5,491,3
100000585,100000585,1,349,1
100000586,100000586,5,490,2
100000587,100000587,3,379,1
100000588,100000588,4,110,4
100000589,100000589,2,137,1
100000590,100000590,5,275,2
100000591,100000591,4,171,2
100000592,100000592,5,222,2
100000593,100000593,1,330,2
100000594,100000594,5,367,1
100000595,100000595,1,181,3
100000596,100000596,5,125,1
100000597,100000597,3,263,2
100000598,100000598,1,232,3
100000599,100000599,5,544,4
100000600,100000600,5,310,4
100000601,100000601,4,481,1
100000602,100000602,2,109,4
100000603,100000603,5,281,1
100000604,100000604,5,121,2
100000605,100000605,4,338,4
100000606,100000606,2,284,4
100000607,100000607,3,306,4
100000608,100000608,3,532,4
100000609,100000609,4,353,4
100000610,100000610,2,503,4
100000611,100000611,2,292,4
100000612,100000612,3,333,3
100000613,100000613,3,385,4
100000614,100000614,2,505,4
100000615,100000615,1,536,4
100000616,100000616,3,277,2
100000617,100000617,3,428,2
100000618,100000618,2,201,3
100000619,100000619,5,351,1
100000620,100000620,1,506,1
100000621,100000621,3,136,1
100000622,100000622,2,192,2
100000623,100000623,2,306,4
100000624,100000624,3,143,1
100000625,100000625,5,173,1
100000626,100000626,4,472,3
100000627,100000627,1,365,4
100000628,100000628,3,346,4
100000629,100000629,2,246,3
100000630,100000630,1,278,3
100000631,100000631,2,294,2
100000632,100000632,4,315,2
100000633,100000633,3,360,1
100000634,100000634,4,388,3
100000635,100000635,4,302,4
100000636,100000636,2,349,1
100000637,100000637,1,353,2
100000638,100000638,4,424,4
100000639,100000639,1,248,2
100000640,100000640,5,356,3
100000641,100000641,2,224,4
100000642,100000642,4,473,4
100000643,100000643,2,106,2
100000644,100000644,1,541,1
100000645,100000645,4,511,3
100000646,100000646,5,201,1
100000647,100000647,5,521,4
100000648,100000648,5,476,2
100000649,100000649,1,110,1
100000650,100000650,4,256,4
100000651,100000651,4,406,1
100000652,100000652,4,397,2
100000653,100000653,4,483,3
100000654,100000654,5,112,4
100000655,100000655,1,483,4
100000656,100000656,4,519,4
100000657,100000657,1,507,3
100000658,100000658,3,160,1
100000659,100000659,5,502,1
100000660,100000660,1,136,3
100000661,100000661,4,123,4
100000662,100000662,5,427,3
100000663,100000663,1,309,1
100000664,100000664,4,544,4
100000665,100000665,4,257,4
100000666,100000666,2,447,4
100000667,100000667,3,152,1
100000668,100000668,5,526,1
100000669,100000669,2,457,4
100000670,100000670,2,142,3
100000671,100000671,2,341,1
100000672,100000672,5,113,2
100000673,100000673,2,494,4
100000674,100000674,4,278,1
100000675,100000675,2,201,1
100000676,100000676,3,109,1
100000677,100000677,4,158,2
100000678,100000678,5,118,1
100000679,100000679,1,225,3
100000680,100000680,2,122,3
100000681,100000681,3,531,4
100000682,100000682,3,244,2
100000683,100000683,2,115,3
100000684,100000684,4,437,2
100000685,100000685,1,223,4
100000686,100000686,2,352,2
100000687,100000687,2,416,3
100000688,100000688,1,516,1
100000689,100000689,4,357,4
100000690,100000690,1,499,3
100000691,100000691,5,293,4
100000692,100000692,4,400,3
100000693,100000693,5,332,4
100000694,100000694,3,127,2
100000695,100000695,2,423,2
100000696,100000696,3,409,2
100000697,100000697,2,547,4
100000698,100000698,1,542,4
100000699,100000699,2,146,1
100000700,100000700,1,404,1
100000701,100000701,3,312,3
100000702,100000702,4,104,4
100000703,100000703,2,259,3
100000704,100000704,1,264,4
100000705,100000705,4,257,4
100000706,100000706,1,121,4
100000707,100000707,4,307,3
100000708,100000708,4,336,2
100000709,100000709,2,424,3
100000710,100000710,2,427,2
100000711,100000711,1,388,2
100000712,100000712,5,289,3
100000713,100000713,4,362,1
100000714,100000714,5,262,2
100000715,100000715,2,258,4
100000716,100000716,5,281,2
100000717,100000717,2,103,2
100000718,100000718,1,233,1
100000719,100000719,1,406,3
100000720,100000720,4,375,2
100000721,100000721,5,141,3
100000722,100000722,5,364,2
100000723,100000723,3,482,3
100000724,100000724,5,124,2
100000725,100000725,3,491,1
100000726,100000726,3,109,1
100000727,100000727,4,256,1
100000728,100000728,2,529,3
100000729,100000729,1,175,2
100000730,100000730,2,345,2
100000731,100000731,5,287,1
100000732,100000732,3,172,3
100000733,100000733,5,191,1
100000734,100000734,1,356,1
100000735,100000735,3,355,3
100000736,100000736,2,397,3
100000737,100000737,3,225,3
100000738,100000738,4,219,4
100000739,100000739,4,529,3
100000740,100000740,5,321,1
100000741,100000741,4,288,1
100000742,100000742,3,400,3
100000743,100000743,1,349,1
100000744,100000744,2,476,3
100000745,100000745,1,359,4
100000746,100000746,3,205,1
100000747,100000747,4,294,3
100000748,100000748,1,330,2
100000749,100000749,3,365,1
100000750,100000750,5,206,4
100000751,100000751,5,329,4
100000752,100000752,4,349,3
100000753,100000753,3,153,4
100000754,100000754,3,359,2
100000755,100000755,3,152,4
100000756,100000756,3,158,1
100000757,100000757,1,310,2
100000758,100000758,4,425,2
100000759,100000759,4,504,1
100000760,100000760,4,283,3
100000761,100000761,5,222,2
100000762,100000762,4,442,4
100000763,100000763,3,183,1
100000764,100000764,4,540,4
100000765,100000765,1,236,1
100000766,100000766,5,104,3
100000767,100000767,4,288,1
100000768,100000768,1,371,1
100000769,100000769,3,185,2
100000770,100000770,4,331,1
100000771,100000771,4,464,2
100000772,100000772,2,473,3
100000773,100000773,2,147,2
100000774,100000774,2,312,2
100000775,100000775,2,543,3
100000776,100000776,4,159,1
100000777,100000777,3,287,1
100000778,100000778,2,185,2
100000779,100000779,3,131,2
100000780,100000780,5,377,1
100000781,100000781,1,376,4
100000782,100000782,2,127,1
100000783,100000783,5,219,3
100000784,100000784,5,125,1
100000785,100000785,4,315,2
100000786,100000786,2,183,3
100000787,100000787,1,313,1
100000788,100000788,5,134,1
100000789,100000789,3,151,3
100000790,100000790,1,472,3
100000791,100000791,4,417,2
100000792,100000792,3,154,3
100000793,100000793,4,423,1
100000794,100000794,3,512,4
100000795,100000795,2,232,4
100000796,100000796,1,181,4
100000797,100000797,2,438,3
100000798,100000798,5,326,3
100000799,100000799,4,262,2
100000800,100000800,3,169,3
100000801,100000801,1,384,1
100000802,100000802,4,109,4
100000803,100000803,1,126,3
100000804,100000804,3,313,2
100000805,100000805,1,477,4
100000806,100000806,5,338,3
100000807,100000807,3,483,1
100000808,100000808,5,383,1
100000809,100000809,2,228,2
100000810,100000810,2,346,2
100000811,100000811,3,470,1
100000812,100000812,3,525,2
100000813,100000813,5,419,3
100000814,100000814,3,301,2
100000815,100000815,3,284,4
100000816,100000816,1,514,4
100000817,100000817,2,308,1
100000818,100000818,5,203,1
100000819,100000819,4,185,1
100000820,100000820,1,266,2
100000821,100000821,5,472,1
100000822,100000822,2,163,2
100000823,100000823,2,165,1
100000824,100000824,3,231,2
100000825,100000825,4,547,2
100000826,100000826,4,156,1
100000827,100000827,3,443,4
100000828,100000828,4,543,2
100000829,100000829,3,255,4
100000830,100000830,3,260,2
100000831,100000831,1,320,4
100000832,100000832,1,223,2
100000833,100000833,2,303,2
100000834,100000834,2,190,3
100000835,100000835,2,124,2
100000836,100000836,3,520,2
100000837,100000837,2,203,1
100000838,100000838,2,276,3
100000839,100000839,5,465,1
100000840,100000840,2,485,4
100000841,100000841,4,415,2
100000842,100000842,2,373,4
100000843,100000843,2,350,4
100000844,100000844,3,212,2
100000845,100000845,2,121,2
100000846,100000846,3,175,2
100000847,100000847,5,497,2
100000848,100000848,3,107,2
100000849,100000849,3,281,3
100000850,100000850,5,200,3
100000851,100000851,4,153,4
100000852,100000852,1,119,3
100000853,100000853,3,224,3
100000854,100000854,3,422,3
100000855,100000855,4,363,2
100000856,100000856,1,293,3
100000857,100000857,2,536,2
100000858,100000858,3,359,4
100000859,100000859,2,198,2
100000860,100000860,3,538,3
100000861,100000861,2,217,1
100000862,100000862,3,512,1
100000863,100000863,2,453,4
100000864,100000864,5,448,4
100000865,100000865,1,520,2
100000866,100000866,3,274,1
100000867,100000867,4,521,4
100000868,100000868,3,399,4
100000869,100000869,2,262,2
100000870,100000870,4,237,3
100000871,100000871,5,150,3
100000872,100000872,4,240,1
100000873,100000873,1,245,4
100000874,100000874,4,399,1
100000875,100000875,2,315,1
100000876,100000876,2,193,1
100000877,100000877,1,158,4
100000878,100000878,1,290,4
100000879,100000879,2,233,3
100000880,100000880,4,237,3
100000881,100000881,5,283,1
100000882,100000882,4,319,3
100000883,100000883,1,174,3
100000884,100000884,5,511,2
100000885,100000885,1,369,4
100000886,100000886,3,328,4
100000887,100000887,3,140,4
100000888,100000888,3,484,4
100000889,100000889,2,168,2
100000890,100000890,3,408,4
100000891,100000891,4,440,3
100000892,100000892,1,160,3
100000893,100000893,5,146,3
100000894,100000894,4,312,4
100000895,100000895,4,306,4
100000896,100000896,2,406,2
100000897,100000897,5,134,3
100000898,100000898,2,104,4
100000899,100000899,3,249,1
100000900,100000900,3,275,4
100000901,100000901,1,127,4
100000902,100000902,2,434,1
100000903,100000903,3,271,4
100000904,100000904,3,440,3
100000905,100000905,3,122,2
100000906,100000906,2,337,3
100000907,100000907,3,475,3
100000908,100000908,5,253,4
100000909,100000909,3,320,1
100000910,100000910,4,364,4
100000911,100000911,2,341,1
100000912,100000912,3,369,1
100000913,100000913,5,486,4
100000914,100000914,1,439,2
100000915,100000915,4,343,2
100000916,100000916,3,529,1
100000917,100000917,2,480,3
100000918,100000918,3,437,4
100000919,100000919,5,427,1
100000920,100000920,3,256,2
100000921,100000921,4,129,2
100000922,100000922,1,535,4
100000923,100000923,2,362,4
100000924,100000924,5,349,4
100000925,100000925,4,127,2
100000926,100000926,4,529,3
100000927,100000927,2,359,1
100000928,100000928,4,425,3
100000929,100000929,5,124,1
100000930,100000930,5,461,1
100000931,100000931,4,197,4
100000932,100000932,3,478,4
100000933,100000933,3,503,4
100000934,100000934,2,517,2
100000935,100000935,2,131,1
100000936,100000936,2,285,1
100000937,100000937,1,143,4
100000938,100000938,3,421,1
100000939,100000939,4,304,3
100000940,100000940,1,409,2
100000941,100000941,1,244,4
100000942,100000942,4,208,4
100000943,100000943,5,341,4
100000944,100000944,5,317,2
100000945,100000945,5,201,2
100000946,100000946,1,471,4
100000947,100000947,3,486,2
100000948,100000948,3,249,1
100000949,100000949,3,117,1
100000950,100000950,5,313,4
100000951,100000951,5,135,4
100000952,100000952,4,181,2
100000953,100000953,4,290,3
100000954,100000954,2,325,4
100000955,100000955,4,125,3
100000956,100000956,3,338,3
100000957,100000957,5,499,1
100000958,100000958,2,139,3
100000959,100000959,4,401,4
100000960,100000960,3,241,3
100000961,100000961,5,317,2
100000962,100000962,2,452,3
100000963,100000963,4,537,4
100000964,100000964,1,245,3
100000965,100000965,5,469,1
100000966,100000966,2,486,4
100000967,100000967,4,333,4
100000968,100000968,2,138,2
100000969,100000969,1,224,1
100000970,100000970,5,144,4
100000971,100000971,2,215,1
100000972,100000972,2,120,2
100000973,100000973,1,279,2
100000974,100000974,5,224,3
100000975,100000975,3,133,4
100000976,100000976,1,350,2
100000977,100000977,1,350,3
100000978,100000978,1,429,4
100000979,100000979,1,469,4
100000980,100000980,2,545,3
100000981,100000981,4,350,4
100000982,100000982,1,234,2
100000983,100000983,4,287,2
100000984,100000984,5,237,2
100000985,100000985,3,524,3
100000986,100000986,5,292,3
100000987,100000987,3,423,3
100000988,100000988,4,269,3
100000989,100000989,1,513,3
100000990,100000990,4,469,3
100000991,100000991,1,302,4
100000992,100000992,1,547,1
100000993,100000993,4,283,2
