ReservationID,PaymentTypeID,PaymentDate,PaymentAmount
100000129,5,3/17/2023,456
100000130,3,10/6/2023,435
100000131,2,10/22/2023,514
100000132,3,9/12/2023,1284
100000133,1,7/19/2023,416
100000134,2,8/24/2023,1404
100000135,2,8/17/2023,404
100000136,3,1/6/2023,434
100000137,5,10/15/2023,357
100000138,5,10/23/2023,426
100000139,5,4/23/2023,487
100000140,5,8/1/2023,1628
100000141,2,4/28/2023,1058
100000142,5,9/29/2023,594
100000143,3,10/1/2023,672
100000144,5,11/27/2023,1545
100000145,1,12/8/2023,1460
100000146,3,6/25/2023,1500
100000147,5,11/30/2023,1581
100000148,4,11/30/2023,191
100000149,1,1/18/2023,1516
100000150,4,10/24/2023,980
100000151,3,2/14/2023,146
100000152,5,2/24/2023,515
100000153,5,1/21/2023,513
100000154,5,3/17/2023,564
100000155,5,9/17/2023,534
100000156,5,11/20/2023,801
100000157,3,9/16/2023,1257
100000158,2,10/6/2023,1128
100000159,5,5/27/2023,401
100000160,2,7/4/2023,1470
100000161,5,2/18/2023,352
100000162,3,11/5/2023,1332
100000163,3,11/23/2023,1620
100000164,1,4/30/2023,320
100000165,3,6/2/2023,244
100000166,5,8/28/2023,541
100000167,3,12/15/2023,1532
100000168,2,3/22/2023,244
100000169,4,9/10/2023,578
100000170,3,3/8/2023,392
100000171,3,3/3/2023,1456
100000172,1,12/3/2023,222
100000173,5,9/20/2023,1317
100000174,3,6/21/2023,1108
100000175,3,8/5/2023,664
100000176,1,12/10/2023,1756
100000177,4,1/13/2023,433
100000178,1,6/20/2023,738
100000179,5,9/22/2023,484
100000180,5,5/16/2023,485
100000181,3,8/8/2023,465
100000182,2,5/12/2023,374
100000183,3,5/2/2023,254
100000184,1,4/7/2023,700
100000185,1,7/14/2023,308
100000186,1,5/21/2023,1257
100000187,5,6/20/2023,360
100000188,1,5/19/2023,290
100000189,2,3/19/2023,206
100000190,3,3/23/2023,842
100000191,5,11/4/2023,728
100000192,5,3/9/2023,1736
100000193,4,5/22/2023,247
100000194,3,8/19/2023,1452
100000195,2,5/28/2023,1185
100000196,1,4/22/2023,376
100000197,5,10/3/2023,579
100000198,5,4/16/2023,1034
100000199,2,12/21/2023,449
100000200,4,5/15/2023,912
100000201,1,3/13/2023,756
100000202,5,9/4/2023,1356
100000203,4,12/15/2023,406
100000204,3,7/28/2023,992
100000205,3,2/6/2023,1329
100000206,3,4/14/2023,350
100000207,4,3/14/2023,888
100000208,4,11/15/2023,314
100000209,2,4/17/2023,759
100000210,5,5/20/2023,1060
100000211,4,7/20/2023,455
100000212,4,7/29/2023,524
100000213,3,2/3/2023,866
100000214,3,2/2/2023,352
100000215,5,3/16/2023,2044
100000216,5,5/29/2023,1128
100000217,1,12/28/2023,434
100000218,5,3/21/2023,476
100000219,1,7/1/2023,1124
100000220,2,7/18/2023,1688
100000221,3,8/13/2023,1002
100000222,1,9/14/2023,182
100000223,3,1/6/2023,1632
100000224,2,1/10/2023,1066
100000225,1,3/2/2023,376
100000226,3,10/29/2023,1347
100000227,3,7/2/2023,632
100000228,4,7/20/2023,420
100000229,2,5/15/2023,363
100000230,1,6/8/2023,144
100000231,5,11/10/2023,1168
100000232,1,7/1/2023,543
100000233,5,5/2/2023,806
100000234,1,12/13/2023,1052
100000235,3,9/30/2023,836
100000236,5,11/27/2023,372
100000237,4,7/29/2023,654
100000238,5,9/14/2023,378
100000239,3,2/19/2023,640
100000240,5,11/13/2023,1119
100000241,1,5/2/2023,580
100000242,5,12/16/2023,420
100000243,1,9/13/2023,626
100000244,1,12/3/2023,1389
100000245,2,6/3/2023,312
100000246,4,12/6/2023,1032
100000247,2,11/12/2023,672
100000248,2,6/3/2023,1724
100000249,1,6/21/2023,908
100000250,2,3/3/2023,356
100000251,5,8/28/2023,894
100000252,2,5/17/2023,204
100000253,4,6/3/2023,362
100000254,5,5/17/2023,681
100000255,3,8/13/2023,948
100000256,5,10/20/2023,401
100000257,5,11/7/2023,746
100000258,5,11/20/2023,1452
100000259,5,5/10/2023,312
100000260,5,12/25/2023,988
100000261,2,4/8/2023,169
100000262,2,10/13/2023,608
100000263,1,7/11/2023,746
100000264,2,10/9/2023,444
100000265,1,2/22/2023,600
100000266,5,3/7/2023,410
100000267,4,11/30/2023,452
100000268,1,10/22/2023,210
100000269,3,8/15/2023,268
100000270,4,9/21/2023,488
100000271,3,9/15/2023,606
100000272,1,2/5/2023,972
100000273,5,11/30/2023,1880
100000274,4,8/13/2023,482
100000275,3,5/19/2023,428
100000276,4,4/5/2023,993
100000277,2,5/24/2023,300
100000278,1,7/30/2023,1092
100000279,1,11/28/2023,427
100000280,2,2/17/2023,804
100000281,4,3/10/2023,1200
100000282,4,1/28/2023,255
100000283,5,6/7/2023,1284
100000284,1,12/17/2023,609
100000285,4,4/24/2023,838
100000286,1,3/13/2023,461
100000287,2,3/31/2023,1503
100000288,3,5/19/2023,328
100000289,1,7/9/2023,675
100000290,3,10/15/2023,240
100000291,3,9/13/2023,238
100000292,5,9/17/2023,376
100000293,5,3/26/2023,391
100000294,2,9/28/2023,140
100000295,1,4/26/2023,332
100000296,2,2/26/2023,1008
100000297,5,6/9/2023,174
100000298,2,8/19/2023,240
100000299,2,3/19/2023,511
100000300,1,9/30/2023,278
100000301,5,7/26/2023,998
100000302,2,10/31/2023,361
100000303,5,4/6/2023,1557
100000304,1,6/24/2023,460
100000305,5,12/1/2023,370
100000306,4,4/10/2023,134
100000307,1,6/2/2023,1078
100000308,4,10/18/2023,1384
100000309,4,9/9/2023,1920
100000310,4,12/20/2023,604
100000311,4,4/8/2023,332
100000312,1,3/4/2023,951
100000313,5,12/20/2023,1536
100000314,3,5/20/2023,804
100000315,1,8/19/2023,2112
100000316,4,7/11/2023,1302
100000317,3,9/11/2023,924
100000318,1,6/20/2023,846
100000319,3,7/15/2023,272
100000320,4,12/15/2023,351
100000321,1,8/25/2023,879
100000322,5,4/24/2023,1446
100000323,2,6/29/2023,398
100000324,3,11/19/2023,900
100000325,4,6/17/2023,576
100000326,5,8/3/2023,123
100000327,2,3/28/2023,1336
100000328,5,7/24/2023,420
100000329,5,5/2/2023,1089
100000330,4,8/18/2023,241
100000331,3,11/6/2023,416
100000332,1,8/1/2023,230
100000333,4,9/5/2023,242
100000334,2,10/28/2023,322
100000335,2,3/30/2023,660
100000336,5,3/13/2023,339
100000337,3,4/7/2023,1587
100000338,2,3/19/2023,298
100000339,2,12/15/2023,274
100000340,5,3/28/2023,478
100000341,5,10/7/2023,162
100000342,2,9/10/2023,236
100000343,1,7/25/2023,970
100000344,1,10/11/2023,244
100000345,1,2/26/2023,373
100000346,1,4/26/2023,1278
100000347,4,5/31/2023,740
100000348,1,11/1/2023,963
100000349,4,1/28/2023,1578
100000350,5,12/14/2023,249
100000351,5,11/12/2023,236
100000352,1,2/15/2023,401
100000353,5,5/31/2023,375
100000354,3,5/31/2023,968
100000355,5,10/11/2023,842
100000356,5,7/21/2023,924
100000357,4,4/29/2023,1060
100000358,2,3/15/2023,1395
100000359,1,8/18/2023,187
100000360,4,10/24/2023,158
100000361,2,8/11/2023,783
100000362,2,9/10/2023,362
100000363,4,1/17/2023,109
100000364,1,5/22/2023,154
100000365,3,2/9/2023,337
100000366,5,11/26/2023,212
100000367,2,4/20/2023,576
100000368,5,2/22/2023,347
100000369,2,10/23/2023,386
100000370,3,5/4/2023,1096
100000371,4,3/25/2023,1278
100000372,3,8/26/2023,1440
100000373,5,10/14/2023,504
100000374,1,3/9/2023,352
100000375,4,10/23/2023,1656
100000376,4,11/14/2023,294
100000377,4,8/23/2023,1928
100000378,2,12/9/2023,341
100000379,2,5/9/2023,1200
100000380,3,3/3/2023,501
100000381,4,10/17/2023,224
100000382,5,11/26/2023,197
100000383,4,11/25/2023,854
100000384,1,9/24/2023,902
100000385,3,4/20/2023,462
100000386,1,1/5/2023,441
100000387,4,7/21/2023,712
100000388,3,9/8/2023,1040
100000389,5,5/17/2023,436
100000390,5,9/5/2023,856
100000391,2,1/7/2023,1227
100000392,1,11/1/2023,942
100000393,3,7/25/2023,163
100000394,4,11/20/2023,840
100000395,5,2/14/2023,1503
100000396,1,9/3/2023,928
100000397,2,9/9/2023,573
100000398,2,2/2/2023,1028
100000399,4,2/4/2023,1544
100000400,2,6/13/2023,470
100000401,3,10/13/2023,462
100000402,1,11/9/2023,1290
100000403,1,12/4/2023,521
100000404,1,8/21/2023,1401
100000405,4,6/14/2023,928
100000406,5,1/9/2023,540
100000407,4,3/30/2023,892
100000408,2,2/22/2023,1644
100000409,1,10/6/2023,234
100000410,2,8/25/2023,374
100000411,3,11/27/2023,1374
100000412,1,8/25/2023,492
100000413,1,2/19/2023,510
100000414,4,6/1/2023,1484
100000415,1,12/26/2023,531
100000416,4,9/21/2023,1964
100000417,4,7/23/2023,308
100000418,5,6/21/2023,191
100000419,4,8/1/2023,1599
100000420,4,11/18/2023,996
100000421,2,11/17/2023,1596
100000422,4,10/25/2023,756
100000423,2,5/18/2023,762
100000424,4,9/2/2023,439
100000425,2,2/14/2023,654
100000426,3,12/10/2023,980
100000427,4,2/1/2023,1008
100000428,4,6/1/2023,648
100000429,2,2/13/2023,543
100000430,1,9/18/2023,980
100000431,1,7/29/2023,382
100000432,4,10/13/2023,1620
100000433,1,10/10/2023,1512
100000434,1,2/1/2023,2156
100000435,1,11/14/2023,503
100000436,3,9/8/2023,261
100000437,5,8/8/2023,526
100000438,2,11/14/2023,284
100000439,2,4/3/2023,414
100000440,2,10/29/2023,650
100000441,3,7/2/2023,1119
100000442,2,1/17/2023,515
100000443,1,8/31/2023,864
100000444,5,9/2/2023,176
100000445,1,12/4/2023,496
100000446,1,6/7/2023,894
100000447,5,1/1/2024,1272
100000448,5,12/3/2023,230
100000449,3,2/21/2023,910
100000450,4,9/25/2023,926
100000451,4,12/8/2023,638
100000452,3,6/13/2023,1542
100000453,2,3/9/2023,1152
100000454,5,7/30/2023,2168
100000455,3,11/26/2023,502
100000456,5,4/24/2023,996
100000457,3,12/1/2023,138
100000458,3,11/19/2023,422
100000459,2,4/7/2023,1660
100000460,5,3/20/2023,2192
100000461,3,12/17/2023,250
100000462,2,6/9/2023,756
100000463,1,3/12/2023,1524
100000464,5,12/9/2023,1296
100000465,2,6/22/2023,957
100000466,5,3/14/2023,774
100000467,5,12/26/2023,468
100000468,2,11/11/2023,1348
100000469,5,10/31/2023,1002
100000470,3,4/24/2023,497
100000471,1,4/26/2023,752
100000472,5,6/30/2023,2108
100000473,1,7/16/2023,1028
100000474,1,1/24/2023,1197
100000475,5,11/17/2023,1080
100000476,1,11/7/2023,1280
100000477,3,10/30/2023,210
100000478,1,10/1/2023,948
100000479,3,6/15/2023,374
100000480,3,8/7/2023,524
100000481,5,1/2/2023,1263
100000482,5,5/4/2023,479
100000483,2,11/5/2023,702
100000484,4,2/12/2023,1593
100000485,3,9/27/2023,870
100000486,1,2/1/2023,790
100000487,4,7/28/2023,1460
100000488,2,3/15/2023,434
100000489,5,7/18/2023,394
100000490,5,5/15/2023,993
100000491,4,4/10/2023,2200
100000492,4,6/10/2023,1768
100000493,4,8/2/2023,249
100000494,3,5/24/2023,1392
100000495,3,6/24/2023,838
100000496,3,7/29/2023,676
100000497,5,7/19/2023,198
100000498,1,4/6/2023,246
100000499,1,10/18/2023,954
100000500,4,10/8/2023,310
100000501,3,5/3/2023,888
100000502,3,11/27/2023,978
100000503,3,7/3/2023,1188
100000504,5,6/4/2023,277
100000505,2,10/7/2023,432
100000506,3,10/3/2023,238
100000507,4,5/7/2023,842
100000508,3,11/20/2023,465
100000509,3,11/11/2023,1136
100000510,2,3/17/2023,354
100000511,1,12/10/2023,1060
100000512,1,9/15/2023,438
100000513,1,12/12/2023,171
100000514,5,5/25/2023,906
100000515,3,5/22/2023,1116
100000516,4,5/8/2023,483
100000517,5,12/17/2023,1048
100000518,4,2/4/2023,1434
100000519,1,1/2/2024,514
100000520,5,9/30/2023,408
100000521,3,3/23/2023,412
100000522,3,4/21/2023,1120
100000523,1,4/23/2023,1724
100000524,1,9/30/2023,892
100000525,5,1/13/2023,278
100000526,5,1/5/2023,1732
100000527,4,7/4/2023,334
100000528,1,6/22/2023,118
100000529,3,4/5/2023,1506
100000530,2,12/28/2023,390
100000531,2,12/26/2023,1070
100000532,2,3/10/2023,520
100000533,1,6/17/2023,128
100000534,2,4/4/2023,948
100000535,5,7/13/2023,103
100000536,1,11/12/2023,864
100000537,3,4/10/2023,644
100000538,4,3/20/2023,852
100000539,4,8/8/2023,312
100000540,1,1/4/2023,408
100000541,5,5/20/2023,442
100000542,5,12/29/2023,536
100000543,4,4/16/2023,1028
100000544,1,8/17/2023,346
100000545,4,7/20/2023,776
100000546,2,2/6/2023,1341
100000547,1,9/6/2023,405
100000548,4,10/2/2023,379
100000549,3,5/22/2023,1852
100000550,4,8/14/2023,312
100000551,1,3/26/2023,158
100000552,5,2/26/2023,339
100000553,2,4/24/2023,288
100000554,1,12/3/2023,1281
100000555,2,6/26/2023,346
100000556,4,2/27/2023,1071
100000557,1,8/12/2023,996
100000558,1,9/20/2023,1440
100000559,1,7/30/2023,488
100000560,1,1/4/2024,1191
100000561,3,12/23/2023,339
100000562,3,10/28/2023,184
100000563,3,5/23/2023,828
100000564,3,3/13/2023,694
100000565,1,3/1/2023,357
100000566,4,1/11/2023,482
100000567,4,4/21/2023,420
100000568,2,9/16/2023,128
100000569,1,4/15/2023,280
100000570,1,2/25/2023,1284
100000571,4,9/30/2023,321
100000572,2,10/5/2023,386
100000573,1,8/27/2023,858
100000574,2,12/24/2023,840
100000575,1,10/9/2023,2064
100000576,1,8/11/2023,1280
100000577,1,4/3/2023,660
100000578,2,9/20/2023,1804
100000579,1,8/24/2023,710
100000580,1,7/31/2023,1581
100000581,3,1/8/2023,411
100000582,4,5/1/2023,1528
100000583,5,8/12/2023,936
100000584,2,12/3/2023,1473
100000585,4,2/23/2023,349
100000586,2,9/4/2023,980
100000587,2,12/13/2023,379
100000588,4,10/22/2023,440
100000589,5,8/2/2023,137
100000590,5,8/26/2023,550
100000591,5,3/3/2023,342
100000592,4,5/14/2023,444
100000593,2,6/11/2023,660
100000594,5,3/16/2023,367
100000595,2,6/8/2023,543
100000596,1,10/4/2023,125
100000597,5,11/15/2023,526
100000598,3,6/16/2023,696
100000599,1,6/21/2023,2176
100000600,5,6/10/2023,1240
100000601,1,10/16/2023,481
100000602,1,6/18/2023,436
100000603,3,5/25/2023,281
100000604,3,9/22/2023,242
100000605,1,3/31/2023,1352
100000606,5,9/18/2023,1136
100000607,5,7/7/2023,1224
100000608,3,9/20/2023,2128
100000609,2,8/26/2023,1412
100000610,1,12/16/2023,2012
100000611,2,8/28/2023,1168
100000612,2,8/4/2023,999
100000613,5,2/27/2023,1540
100000614,5,4/23/2023,2020
100000615,5,2/1/2023,2144
100000616,4,12/15/2023,554
100000617,2,12/25/2023,856
100000618,2,6/23/2023,603
100000619,1,6/5/2023,351
100000620,4,6/7/2023,506
100000621,4,4/24/2023,136
100000622,1,8/4/2023,384
100000623,4,3/20/2023,1224
100000624,3,1/17/2023,143
100000625,1,11/10/2023,173
100000626,3,10/26/2023,1416
100000627,4,2/19/2023,1460
100000628,1,2/13/2023,1384
100000629,2,8/20/2023,738
100000630,2,9/1/2023,834
100000631,1,5/31/2023,588
100000632,3,2/25/2023,630
100000633,2,3/26/2023,360
100000634,1,3/21/2023,1164
100000635,4,8/19/2023,1208
100000636,3,1/16/2023,349
100000637,5,12/28/2023,706
100000638,2,3/8/2023,1696
100000639,2,6/6/2023,496
100000640,1,11/12/2023,1068
100000641,5,3/4/2023,896
100000642,4,7/24/2023,1892
100000643,2,8/10/2023,212
100000644,5,8/9/2023,541
100000645,3,8/28/2023,1533
100000646,4,12/27/2023,201
100000647,3,5/16/2023,2084
100000648,3,4/8/2023,952
100000649,2,11/10/2023,110
100000650,5,9/27/2023,1024
100000651,2,2/19/2023,406
100000652,2,11/30/2023,794
100000653,1,1/14/2023,1449
100000654,3,4/8/2023,448
100000655,5,1/25/2023,1932
100000656,2,1/8/2023,2076
100000657,1,4/25/2023,1521
100000658,2,10/22/2023,160
100000659,2,5/20/2023,502
100000660,4,9/1/2023,408
100000661,3,5/3/2023,492
100000662,4,8/13/2023,1281
100000663,5,3/16/2023,309
100000664,3,4/23/2023,2176
100000665,3,1/18/2023,1028
100000666,1,6/4/2023,1788
100000667,5,3/31/2023,152
100000668,4,2/2/2023,526
100000669,3,7/8/2023,1828
100000670,5,3/14/2023,426
100000671,2,11/24/2023,341
100000672,5,3/17/2023,226
100000673,4,2/27/2023,1976
100000674,5,5/26/2023,278
100000675,4,1/17/2023,201
100000676,5,7/28/2023,109
100000677,4,7/3/2023,316
100000678,5,8/19/2023,118
100000679,1,1/8/2023,675
100000680,3,11/23/2023,366
100000681,4,9/16/2023,2124
100000682,5,12/4/2023,488
100000683,4,4/9/2023,345
100000684,2,2/4/2023,874
100000685,1,7/27/2023,892
100000686,5,4/14/2023,704
100000687,1,8/17/2023,1248
100000688,2,11/29/2023,516
100000689,5,4/19/2023,1428
100000690,1,9/10/2023,1497
100000691,4,5/16/2023,1172
100000692,2,6/26/2023,1200
100000693,3,9/13/2023,1328
100000694,4,12/14/2023,254
100000695,3,6/3/2023,846
100000696,3,10/26/2023,818
100000697,5,10/20/2023,2188
100000698,2,1/25/2023,2168
100000699,5,10/5/2023,146
100000700,1,8/14/2023,404
100000701,3,8/31/2023,936
100000702,5,11/11/2023,416
100000703,1,7/13/2023,777
100000704,2,4/9/2023,1056
100000705,3,10/20/2023,1028
100000706,2,10/26/2023,484
100000707,2,2/28/2023,921
100000708,3,10/10/2023,672
100000709,1,4/10/2023,1272
100000710,2,12/21/2023,854
100000711,1,2/2/2023,776
100000712,5,5/21/2023,867
100000713,1,2/7/2023,362
100000714,5,6/15/2023,524
100000715,1,9/24/2023,1032
100000716,2,9/14/2023,562
100000717,3,4/15/2023,206
100000718,5,12/23/2023,233
100000719,4,10/11/2023,1218
100000720,3,1/31/2023,750
100000721,2,11/28/2023,423
100000722,5,11/3/2023,728
100000723,1,5/16/2023,1446
100000724,5,9/15/2023,248
100000725,2,9/19/2023,491
100000726,2,12/14/2023,109
100000727,5,7/11/2023,256
100000728,3,1/28/2023,1587
100000729,2,11/12/2023,350
100000730,4,11/15/2023,690
100000731,1,5/23/2023,287
100000732,4,11/21/2023,516
100000733,2,2/5/2023,191
100000734,4,3/6/2023,356
100000735,1,8/30/2023,1065
100000736,1,11/2/2023,1191
100000737,4,6/24/2023,675
100000738,4,9/1/2023,876
100000739,3,1/9/2023,1587
100000740,1,1/31/2023,321
100000741,1,10/3/2023,288
100000742,4,8/15/2023,1200
100000743,4,12/20/2023,349
100000744,5,9/20/2023,1428
100000745,5,7/22/2023,1436
100000746,1,1/14/2023,205
100000747,4,8/28/2023,882
100000748,2,1/13/2023,660
100000749,1,8/9/2023,365
100000750,2,10/16/2023,824
100000751,1,12/24/2023,1316
100000752,4,4/20/2023,1047
100000753,1,11/10/2023,612
100000754,2,7/25/2023,718
100000755,4,7/20/2023,608
100000756,3,4/26/2023,158
100000757,4,5/17/2023,620
100000758,2,10/21/2023,850
100000759,5,2/8/2023,504
100000760,2,8/26/2023,849
100000761,1,12/29/2023,444
100000762,2,11/25/2023,1768
100000763,5,3/15/2023,183
100000764,4,2/6/2023,2160
100000765,2,7/4/2023,236
100000766,1,5/20/2023,312
100000767,1,5/7/2023,288
100000768,5,10/9/2023,371
100000769,5,9/3/2023,370
100000770,1,8/30/2023,331
100000771,4,5/8/2023,928
100000772,4,2/18/2023,1419
100000773,3,2/19/2023,294
100000774,1,5/20/2023,624
100000775,2,11/29/2023,1629
100000776,5,7/27/2023,159
100000777,1,10/12/2023,287
100000778,2,12/12/2023,370
100000779,4,11/14/2023,262
100000780,5,11/25/2023,377
100000781,4,2/22/2023,1504
100000782,1,8/21/2023,127
100000783,4,10/5/2023,657
100000784,3,12/6/2023,125
100000785,1,3/22/2023,630
100000786,3,6/1/2023,549
100000787,5,6/12/2023,313
100000788,5,4/20/2023,134
100000789,2,9/11/2023,453
100000790,2,5/27/2023,1416
100000791,2,5/27/2023,834
100000792,3,9/19/2023,462
100000793,2,5/19/2023,423
100000794,3,5/13/2023,2048
100000795,3,8/8/2023,928
100000796,4,7/2/2023,724
100000797,3,8/7/2023,1314
100000798,1,1/7/2023,978
100000799,4,2/3/2023,524
100000800,1,11/13/2023,507
100000801,5,8/17/2023,384
100000802,1,4/12/2023,436
100000803,4,11/16/2023,378
100000804,5,12/18/2023,626
100000805,4,2/14/2023,1908
100000806,1,9/30/2023,1014
100000807,2,1/17/2023,483
100000808,1,1/27/2023,383
100000809,3,7/23/2023,456
100000810,1,4/11/2023,692
100000811,3,2/25/2023,470
100000812,4,11/12/2023,1050
100000813,5,6/26/2023,1257
100000814,4,3/13/2023,602
100000815,1,4/2/2023,1136
100000816,4,12/5/2023,2056
100000817,5,11/6/2023,308
100000818,1,7/14/2023,203
100000819,4,8/6/2023,185
100000820,3,9/19/2023,532
100000821,1,1/21/2023,472
100000822,4,1/21/2023,326
100000823,4,10/21/2023,165
100000824,2,8/13/2023,462
100000825,5,1/4/2023,1094
100000826,2,4/4/2023,156
100000827,1,2/12/2023,1772
100000828,5,4/19/2023,1086
100000829,4,9/21/2023,1020
100000830,3,6/5/2023,520
100000831,4,8/5/2023,1280
100000832,5,8/4/2023,446
100000833,3,6/25/2023,606
100000834,5,2/25/2023,570
100000835,3,11/28/2023,248
100000836,5,9/9/2023,1040
100000837,1,12/21/2023,203
100000838,5,10/24/2023,828
100000839,2,7/19/2023,465
100000840,2,12/14/2023,1940
100000841,3,2/18/2023,830
100000842,5,1/13/2023,1492
100000843,2,7/26/2023,1400
100000844,1,5/8/2023,424
100000845,2,9/16/2023,242
100000846,2,11/25/2023,350
100000847,4,8/5/2023,994
100000848,2,12/28/2023,214
100000849,1,1/24/2023,843
100000850,1,7/29/2023,600
100000851,2,7/15/2023,612
100000852,3,3/31/2023,357
100000853,4,10/4/2023,672
100000854,5,8/9/2023,1266
100000855,2,10/16/2023,726
100000856,1,3/5/2023,879
100000857,1,10/27/2023,1072
100000858,3,6/8/2023,1436
100000859,2,6/1/2023,396
100000860,3,2/28/2023,1614
100000861,4,6/8/2023,217
100000862,4,6/27/2023,512
100000863,3,1/24/2023,1812
100000864,3,7/25/2023,1792
100000865,4,10/2/2023,1040
100000866,4,4/21/2023,274
100000867,2,3/25/2023,2084
100000868,3,7/18/2023,1596
100000869,2,1/8/2023,524
100000870,2,2/22/2023,711
100000871,4,9/2/2023,450
100000872,3,12/13/2023,240
100000873,2,12/15/2023,980
100000874,3,6/14/2023,399
100000875,1,1/22/2023,315
100000876,3,1/11/2023,193
100000877,1,3/24/2023,632
100000878,4,7/2/2023,1160
100000879,2,1/10/2023,699
100000880,5,1/16/2023,711
100000881,4,4/24/2023,283
100000882,1,12/14/2023,957
100000883,3,8/22/2023,522
100000884,4,2/22/2023,1022
100000885,1,11/11/2023,1476
100000886,2,4/23/2023,1312
100000887,1,5/26/2023,560
100000888,2,7/28/2023,1936
100000889,4,6/9/2023,336
100000890,3,2/22/2023,1632
100000891,2,4/21/2023,1320
100000892,3,6/16/2023,480
100000893,1,5/23/2023,438
100000894,5,8/4/2023,1248
100000895,3,4/12/2023,1224
100000896,3,4/16/2023,812
100000897,2,8/25/2023,402
100000898,3,11/22/2023,416
100000899,5,6/26/2023,249
100000900,5,1/14/2023,1100
100000901,3,3/16/2023,508
100000902,5,10/25/2023,434
100000903,3,3/19/2023,1084
100000904,5,9/12/2023,1320
100000905,2,10/15/2023,244
100000906,1,11/23/2023,1011
100000907,1,12/3/2023,1425
100000908,3,3/29/2023,1012
100000909,1,5/22/2023,320
