ReservationID,CusomterID,ReservationDate,EmployeeID,HotelID,CheckIn,CheckOut,NumGuests,IsBusinessTripFlag
100000042,1264,4/13/2023,10056,105,6/18/2023,6/21/2023,6,0
100000043,1285,9/13/2023,10056,106,12/10/2023,12/12/2023,4,1
100000044,1322,1/12/2023,10082,100,2/22/2023,2/25/2023,3,0
100000045,1275,4/20/2023,10033,103,7/19/2023,7/23/2023,4,0
100000046,1081,10/27/2023,10073,108,12/21/2023,12/23/2023,3,0
100000047,1082,1/22/2023,10040,103,3/4/2023,3/6/2023,6,1
100000048,1050,1/27/2023,10001,100,3/31/2023,4/7/2023,4,0
100000049,1227,6/26/2023,10061,100,8/27/2023,9/1/2023,4,1
100000050,1327,3/6/2023,10080,106,4/19/2023,4/20/2023,2,1
100000051,1008,11/12/2023,10083,104,1/14/2024,1/19/2024,4,0
100000052,1215,11/8/2023,10098,100,12/19/2023,12/26/2023,6,0
100000053,1487,11/17/2023,10069,104,11/22/2023,11/24/2023,4,1
100000054,1199,3/19/2023,10045,101,5/21/2023,5/26/2023,5,1
100000055,1398,7/6/2023,10017,100,9/17/2023,9/26/2023,1,0
100000056,1156,1/8/2023,10074,108,3/27/2023,4/1/2023,3,1
100000057,1416,9/11/2023,10013,105,12/1/2023,12/6/2023,2,0
100000058,1155,6/27/2023,10053,106,7/15/2023,7/23/2023,1,1
100000059,1174,4/23/2023,10007,106,7/12/2023,7/19/2023,4,1
100000060,1111,6/28/2023,10084,105,7/22/2023,7/30/2023,4,0
100000061,1315,2/12/2023,10041,105,5/3/2023,5/10/2023,2,1
100000062,1068,1/22/2023,10077,109,2/16/2023,2/25/2023,2,0
100000063,1330,10/5/2023,10049,105,12/30/2023,1/7/2024,6,1
100000064,1065,3/22/2023,10000,104,5/19/2023,5/27/2023,4,0
100000065,1483,4/2/2023,10013,104,4/20/2023,4/25/2023,3,1
100000066,1192,7/5/2023,10065,100,8/9/2023,8/13/2023,5,1
100000067,1161,3/5/2023,10006,104,5/30/2023,6/5/2023,1,0
100000068,1181,9/9/2023,10068,107,9/18/2023,9/22/2023,4,1
100000069,1255,7/11/2023,10099,107,9/1/2023,9/5/2023,3,1
100000070,1328,12/11/2023,10020,108,1/14/2024,1/24/2024,2,1
100000071,1227,4/9/2023,10037,107,6/1/2023,6/5/2023,4,0
100000072,1216,11/15/2023,10029,102,11/28/2023,11/30/2023,5,1
100000073,1057,3/25/2023,10073,106,5/14/2023,5/15/2023,5,1
100000074,1005,7/9/2023,10097,105,9/8/2023,9/18/2023,4,1
100000075,1423,6/1/2023,10030,106,8/27/2023,9/4/2023,6,1
100000076,1226,6/27/2023,10059,101,9/19/2023,9/20/2023,3,0
100000077,1461,12/12/2023,10017,100,3/1/2024,3/11/2024,5,0
100000078,1246,2/20/2023,10012,100,3/8/2023,3/13/2023,5,1
100000079,1374,5/4/2023,10072,109,7/2/2023,7/10/2023,4,1
100000080,1132,8/6/2023,10055,105,9/10/2023,9/15/2023,1,0
100000081,1020,10/24/2023,10017,104,1/19/2024,1/20/2024,2,0
100000082,1420,9/7/2023,10006,109,10/7/2023,10/9/2023,3,0
100000083,1220,8/4/2023,10017,107,10/5/2023,10/10/2023,6,1
100000084,1446,1/30/2023,10063,103,3/31/2023,4/5/2023,3,0
100000085,1054,6/4/2023,10080,106,7/8/2023,7/13/2023,5,1
100000086,1153,12/5/2023,10025,101,12/31/2023,1/2/2024,4,0
100000087,1392,2/20/2023,10031,105,3/18/2023,3/23/2023,2,1
100000088,1332,12/7/2023,10082,103,2/17/2024,2/19/2024,4,1
100000089,1168,8/22/2023,10074,108,11/20/2023,11/29/2023,6,0
100000090,1080,6/27/2023,10087,104,8/26/2023,8/29/2023,3,1
100000091,1378,8/2/2023,10010,100,9/23/2023,9/27/2023,1,1
100000092,1222,2/24/2023,10077,100,4/22/2023,4/27/2023,1,0
100000093,1082,10/30/2023,10022,109,1/8/2024,1/15/2024,1,0
100000094,1114,11/13/2023,10019,101,12/4/2023,12/10/2023,2,1
100000095,1075,7/3/2023,10099,100,9/29/2023,10/7/2023,4,0
100000096,1358,6/23/2023,10045,103,7/1/2023,7/6/2023,5,1
100000097,1247,10/7/2023,10070,107,12/12/2023,12/21/2023,4,1
100000098,1013,9/13/2023,10022,108,12/11/2023,12/14/2023,2,0
100000099,1076,6/12/2023,10008,105,8/26/2023,8/28/2023,2,0
100000100,1426,3/26/2023,10053,107,5/27/2023,6/5/2023,5,0
100000101,1314,9/28/2023,10020,109,10/19/2023,10/24/2023,5,0
100000102,1292,1/20/2023,10018,103,1/30/2023,2/1/2023,2,0
100000103,1466,10/7/2023,10037,109,11/15/2023,11/23/2023,3,1
100000104,1371,8/2/2023,10069,109,8/31/2023,9/7/2023,3,1
100000105,1011,6/27/2023,10022,108,8/10/2023,8/20/2023,1,0
100000106,1433,9/10/2023,10038,100,9/26/2023,10/5/2023,3,1
100000107,1341,9/4/2023,10009,103,11/1/2023,11/4/2023,6,1
100000108,1488,6/23/2023,10026,106,9/11/2023,9/19/2023,1,1
100000109,1018,9/16/2023,10045,102,11/2/2023,11/7/2023,6,1
100000110,1120,8/3/2023,10021,105,9/18/2023,9/28/2023,6,0
100000111,1386,4/8/2023,10097,102,6/3/2023,6/10/2023,2,1
100000112,1433,5/10/2023,10001,105,7/30/2023,7/31/2023,5,1
100000113,1125,2/16/2023,10080,102,2/21/2023,3/3/2023,2,0
100000114,1418,10/10/2023,10002,109,1/2/2024,1/7/2024,1,1
100000115,1043,4/1/2023,10082,106,5/18/2023,5/20/2023,3,0
100000116,1240,11/27/2023,10052,108,2/5/2024,2/9/2024,5,0
100000117,1462,1/11/2023,10068,107,1/26/2023,2/4/2023,4,1
100000118,1292,3/4/2023,10045,109,3/5/2023,3/10/2023,6,1
100000119,1075,4/30/2023,10021,104,7/27/2023,8/5/2023,1,0
100000120,1331,4/13/2023,10020,109,7/3/2023,7/5/2023,3,1
100000121,1444,9/26/2023,10064,104,11/21/2023,11/30/2023,2,1
100000122,1282,1/15/2023,10020,107,4/3/2023,4/11/2023,5,0
100000123,1311,4/17/2023,10055,102,7/11/2023,7/15/2023,1,1
100000124,1269,1/31/2023,10016,105,2/25/2023,2/27/2023,4,1
100000125,1337,2/2/2023,10008,104,2/22/2023,3/3/2023,1,0
100000126,1367,3/26/2023,10017,106,4/29/2023,5/3/2023,1,1
100000127,1002,1/26/2023,10017,107,3/28/2023,4/5/2023,2,0
100000128,1399,4/21/2023,10039,101,7/5/2023,7/13/2023,5,1
100000129,1351,3/16/2023,10016,106,4/28/2023,5/7/2023,1,0
100000130,1418,10/6/2023,10015,108,12/22/2023,12/24/2023,2,0
100000131,1107,10/18/2023,10021,108,11/15/2023,11/17/2023,2,0
100000132,1015,9/9/2023,10053,100,10/26/2023,10/27/2023,2,0
100000133,1347,7/19/2023,10057,104,8/24/2023,8/31/2023,3,1
100000134,1399,8/21/2023,10037,100,11/17/2023,11/23/2023,1,1
100000135,1311,8/15/2023,10080,109,9/5/2023,9/14/2023,3,0
100000136,1108,1/4/2023,10043,102,2/14/2023,2/23/2023,1,0
100000137,1410,10/13/2023,10008,102,12/18/2023,12/21/2023,6,0
100000138,1247,10/22/2023,10017,106,12/10/2023,12/17/2023,5,1
100000139,1078,4/21/2023,10070,105,7/5/2023,7/13/2023,2,0
100000140,1306,7/31/2023,10042,109,10/29/2023,11/1/2023,2,1
100000141,1138,4/26/2023,10019,104,7/19/2023,7/29/2023,2,0
100000142,1167,9/26/2023,10062,101,11/19/2023,11/26/2023,2,0
100000143,1267,10/1/2023,10009,107,10/12/2023,10/20/2023,6,1
100000144,1201,11/26/2023,10034,104,1/8/2024,1/14/2024,3,1
100000145,1306,12/6/2023,10081,102,2/5/2024,2/7/2024,1,0
100000146,1129,6/22/2023,10089,109,7/16/2023,7/20/2023,4,0
100000147,1116,11/27/2023,10036,102,12/3/2023,12/11/2023,3,0
100000148,1499,11/28/2023,10060,104,12/3/2023,12/13/2023,1,0
100000149,1329,1/17/2023,10063,104,2/20/2023,2/26/2023,2,0
100000150,1397,10/24/2023,10099,104,12/14/2023,12/19/2023,2,0
100000151,1425,2/14/2023,10011,106,4/12/2023,4/15/2023,1,1
100000152,1235,2/20/2023,10027,109,3/13/2023,3/16/2023,2,0
100000153,1051,1/17/2023,10035,102,1/23/2023,1/25/2023,6,0
100000154,1466,3/16/2023,10008,103,6/10/2023,6/19/2023,1,0
100000155,1019,9/13/2023,10052,109,10/25/2023,10/31/2023,4,0
100000156,1411,11/18/2023,10045,103,12/7/2023,12/17/2023,5,1
100000157,1217,9/11/2023,10003,101,10/24/2023,11/3/2023,6,0
100000158,1155,10/1/2023,10032,104,12/26/2023,1/4/2024,5,0
100000159,1298,5/22/2023,10072,103,7/1/2023,7/7/2023,3,1
100000160,1413,7/1/2023,10052,108,8/29/2023,9/7/2023,5,1
100000161,1446,2/13/2023,10039,100,3/15/2023,3/19/2023,3,0
100000162,1086,11/2/2023,10093,102,12/12/2023,12/19/2023,3,0
100000163,1391,11/23/2023,10070,106,1/3/2024,1/13/2024,6,0
100000164,1277,4/27/2023,10046,100,5/2/2023,5/5/2023,3,0
100000165,1480,5/31/2023,10083,102,8/18/2023,8/22/2023,4,1
100000166,1410,8/27/2023,10038,103,10/14/2023,10/21/2023,6,1
100000167,1476,12/15/2023,10066,109,2/26/2024,3/1/2024,6,0
100000168,1262,3/22/2023,10060,102,6/15/2023,6/23/2023,2,1
100000169,1169,9/9/2023,10027,105,11/24/2023,11/25/2023,6,0
100000170,1437,3/3/2023,10036,100,4/1/2023,4/3/2023,3,0
100000171,1332,2/27/2023,10082,102,4/22/2023,5/2/2023,1,0
100000172,1481,11/29/2023,10055,108,2/3/2024,2/7/2024,5,0
100000173,1179,9/20/2023,10071,104,10/7/2023,10/11/2023,3,0
100000174,1083,6/16/2023,10069,107,9/2/2023,9/6/2023,3,0
100000175,1106,8/5/2023,10088,106,10/8/2023,10/10/2023,4,1
100000176,1385,12/7/2023,10076,101,1/22/2024,2/1/2024,6,0
100000177,1176,1/9/2023,10084,103,4/9/2023,4/19/2023,1,1
100000178,1440,6/16/2023,10085,108,9/14/2023,9/21/2023,4,1
100000179,1445,9/17/2023,10026,100,10/19/2023,10/21/2023,6,1
100000180,1326,5/11/2023,10022,105,5/24/2023,5/28/2023,4,1
100000181,1498,8/5/2023,10040,104,10/31/2023,11/9/2023,2,0
100000182,1342,5/7/2023,10006,105,6/8/2023,6/16/2023,5,0
100000183,1067,4/28/2023,10075,100,6/13/2023,6/18/2023,2,1
100000184,1357,4/5/2023,10053,104,5/25/2023,5/30/2023,4,1
100000185,1057,7/11/2023,10068,109,8/25/2023,8/26/2023,6,1
100000186,1471,5/18/2023,10063,104,8/6/2023,8/8/2023,2,0
100000187,1474,6/17/2023,10097,105,8/25/2023,9/3/2023,3,1
100000188,1009,5/19/2023,10078,108,5/26/2023,6/5/2023,2,1
100000189,1389,3/19/2023,10092,104,5/11/2023,5/17/2023,3,1
100000190,1416,3/23/2023,10080,101,4/10/2023,4/17/2023,5,0
100000191,1152,11/2/2023,10036,105,1/10/2024,1/20/2024,2,1
100000192,1242,3/8/2023,10071,100,4/23/2023,4/27/2023,1,1
100000193,1372,5/21/2023,10046,102,7/13/2023,7/22/2023,5,0
100000194,1492,8/19/2023,10049,106,10/25/2023,10/29/2023,2,1
100000195,1406,5/28/2023,10037,109,6/28/2023,7/6/2023,3,1
100000196,1396,4/19/2023,10097,108,7/17/2023,7/19/2023,1,1
100000197,1290,9/30/2023,10092,105,10/10/2023,10/19/2023,2,0
100000198,1287,4/14/2023,10024,109,4/23/2023,4/26/2023,6,1
100000199,1175,12/20/2023,10061,109,1/17/2024,1/27/2024,2,0
100000200,1204,5/11/2023,10044,105,7/25/2023,7/30/2023,5,1
100000201,1135,3/13/2023,10051,104,3/23/2023,3/29/2023,6,0
100000202,1018,9/4/2023,10000,105,9/24/2023,9/29/2023,3,0
100000203,1208,12/13/2023,10075,100,2/23/2024,2/28/2024,1,1
100000204,1057,7/26/2023,10075,100,9/20/2023,9/29/2023,4,1
100000205,1065,2/2/2023,10015,107,3/25/2023,3/26/2023,3,1
100000206,1319,4/13/2023,10078,105,4/26/2023,4/28/2023,2,1
100000207,1288,3/12/2023,10000,102,4/17/2023,4/20/2023,4,0
100000208,1083,11/11/2023,10063,109,12/1/2023,12/3/2023,1,0
100000209,1278,4/16/2023,10054,109,5/5/2023,5/15/2023,3,1
100000210,1185,5/20/2023,10058,109,8/6/2023,8/15/2023,3,0
100000211,1148,7/17/2023,10092,100,8/3/2023,8/9/2023,5,1
100000212,1082,7/26/2023,10098,103,9/2/2023,9/3/2023,2,0
100000213,1096,2/3/2023,10035,105,4/10/2023,4/11/2023,2,1
100000214,1041,1/30/2023,10088,109,2/15/2023,2/24/2023,6,1
100000215,1402,3/16/2023,10079,109,4/7/2023,4/10/2023,3,0
100000216,1291,5/28/2023,10087,107,7/5/2023,7/9/2023,1,0
100000217,1424,12/27/2023,10071,105,3/11/2024,3/20/2024,2,0
100000218,1273,3/21/2023,10026,103,4/24/2023,4/26/2023,5,1
100000219,1359,6/27/2023,10050,101,9/13/2023,9/14/2023,3,1
100000220,1330,7/17/2023,10043,101,8/13/2023,8/17/2023,5,1
100000221,1264,8/8/2023,10071,104,10/28/2023,11/2/2023,2,1
100000222,1261,9/10/2023,10023,104,10/2/2023,10/3/2023,1,0
100000223,1307,1/4/2023,10079,109,1/21/2023,1/28/2023,5,0
100000224,1140,1/7/2023,10064,101,3/21/2023,3/27/2023,5,0
100000225,1298,3/2/2023,10085,100,4/26/2023,4/30/2023,2,0
100000226,1240,10/29/2023,10043,107,11/2/2023,11/12/2023,5,1
100000227,1094,6/27/2023,10010,108,8/9/2023,8/13/2023,6,1
100000228,1270,7/17/2023,10039,105,7/29/2023,8/3/2023,3,0
100000229,1462,5/13/2023,10094,101,6/7/2023,6/16/2023,3,1
100000230,1465,6/5/2023,10017,103,6/21/2023,6/25/2023,2,0
100000231,1070,11/9/2023,10085,101,11/21/2023,11/26/2023,3,1
100000232,1315,6/26/2023,10031,101,7/16/2023,7/26/2023,2,1
100000233,1165,4/27/2023,10096,109,6/26/2023,7/3/2023,3,0
100000234,1219,12/9/2023,10034,101,3/3/2024,3/12/2024,4,0
100000235,1102,9/28/2023,10091,100,11/13/2023,11/16/2023,3,0
100000236,1262,11/22/2023,10054,108,1/12/2024,1/18/2024,3,1
100000237,1320,7/29/2023,10006,101,7/30/2023,8/8/2023,5,0
100000238,1248,9/13/2023,10096,106,10/27/2023,10/30/2023,5,0
100000239,1328,2/18/2023,10053,100,3/5/2023,3/6/2023,5,1
100000240,1087,11/13/2023,10007,105,11/21/2023,11/26/2023,1,0
100000241,1124,4/28/2023,10012,100,4/29/2023,5/3/2023,3,0
100000242,1201,12/13/2023,10071,107,12/26/2023,12/28/2023,1,0
100000243,1288,9/9/2023,10023,104,10/3/2023,10/9/2023,6,0
100000244,1392,11/29/2023,10045,102,2/25/2024,3/1/2024,2,0
100000245,1411,5/31/2023,10004,102,6/22/2023,7/1/2023,5,1
100000246,1135,12/6/2023,10033,101,2/3/2024,2/9/2024,6,0
100000247,1415,11/12/2023,10007,108,12/4/2023,12/14/2023,4,0
100000248,1059,5/29/2023,10068,109,7/28/2023,8/7/2023,3,1
100000249,1489,6/20/2023,10072,109,7/28/2023,8/3/2023,6,0
100000250,1119,3/3/2023,10040,103,4/21/2023,4/23/2023,2,0
100000251,1003,8/28/2023,10025,109,11/21/2023,11/26/2023,5,0
100000252,1288,5/16/2023,10007,102,7/10/2023,7/15/2023,5,1
100000253,1409,5/30/2023,10086,103,7/11/2023,7/12/2023,4,0
100000254,1095,5/15/2023,10070,102,6/7/2023,6/17/2023,5,1
100000255,1423,8/11/2023,10064,102,9/14/2023,9/20/2023,4,1
100000256,1396,10/20/2023,10068,105,12/7/2023,12/14/2023,4,0
100000257,1139,11/6/2023,10040,103,12/18/2023,12/20/2023,2,1
100000258,1124,11/19/2023,10067,102,12/3/2023,12/7/2023,6,1
100000259,1116,5/10/2023,10017,105,5/15/2023,5/23/2023,1,0
100000260,1217,12/24/2023,10025,103,2/29/2024,3/1/2024,5,0
100000261,1118,4/3/2023,10070,102,4/23/2023,5/3/2023,4,0
100000262,1254,10/11/2023,10053,106,11/2/2023,11/9/2023,3,0
100000263,1499,7/10/2023,10007,100,8/30/2023,9/1/2023,2,0
100000264,1340,10/9/2023,10089,106,12/28/2023,1/3/2024,3,0
100000265,1298,2/22/2023,10050,100,5/5/2023,5/13/2023,6,1
100000266,1135,3/7/2023,10042,104,5/6/2023,5/7/2023,3,1
100000267,1179,11/30/2023,10056,106,12/9/2023,12/18/2023,4,1
100000268,1097,10/19/2023,10050,109,12/28/2023,1/2/2024,4,1
100000269,1224,8/15/2023,10053,101,9/11/2023,9/21/2023,5,0
100000270,1158,9/18/2023,10085,106,11/29/2023,11/30/2023,3,0
100000271,1292,9/11/2023,10007,108,10/9/2023,10/14/2023,2,1
100000272,1279,2/5/2023,10027,108,3/17/2023,3/25/2023,4,0
100000273,1140,11/25/2023,10043,103,12/26/2023,1/5/2024,1,0
100000274,1430,8/13/2023,10077,101,11/2/2023,11/6/2023,6,0
100000275,1169,5/16/2023,10002,104,7/3/2023,7/11/2023,3,0
100000276,1392,4/5/2023,10001,102,6/13/2023,6/15/2023,4,1
100000277,1404,5/23/2023,10092,101,7/22/2023,7/30/2023,3,0
100000278,1033,7/30/2023,10007,109,8/18/2023,8/19/2023,6,0
100000279,1244,11/23/2023,10045,101,12/18/2023,12/26/2023,3,1
100000280,1400,2/17/2023,10007,106,4/8/2023,4/14/2023,4,0
100000281,1373,3/6/2023,10098,106,5/4/2023,5/12/2023,5,0
100000282,1075,1/26/2023,10020,101,4/19/2023,4/20/2023,2,1
100000283,1178,6/7/2023,10021,103,7/24/2023,7/29/2023,5,1
100000284,1286,12/13/2023,10093,101,3/12/2024,3/15/2024,2,0
100000285,1367,4/20/2023,10068,108,6/8/2023,6/18/2023,5,0
100000286,1092,3/10/2023,10086,105,5/30/2023,6/5/2023,6,0
100000287,1348,3/26/2023,10012,109,5/8/2023,5/13/2023,1,1
100000288,1423,5/19/2023,10040,102,7/21/2023,7/27/2023,1,0
100000289,1107,7/5/2023,10009,101,8/1/2023,8/11/2023,3,1
100000290,1445,10/15/2023,10087,108,1/2/2024,1/6/2024,5,1
100000291,1062,9/11/2023,10065,108,10/16/2023,10/24/2023,3,1
100000292,1054,9/13/2023,10001,100,10/14/2023,10/16/2023,3,0
100000293,1399,3/26/2023,10025,103,4/15/2023,4/19/2023,1,0
100000294,1257,9/25/2023,10068,107,11/23/2023,11/30/2023,3,0
100000295,1104,4/22/2023,10039,108,5/27/2023,6/4/2023,3,1
100000296,1417,2/24/2023,10047,104,4/7/2023,4/10/2023,3,0
100000297,1037,6/4/2023,10024,103,7/2/2023,7/9/2023,6,1
100000298,1385,8/15/2023,10085,108,11/9/2023,11/16/2023,2,0
100000299,1493,3/17/2023,10058,105,3/28/2023,4/2/2023,1,0
100000300,1381,9/30/2023,10025,108,11/13/2023,11/22/2023,1,1
100000301,1420,7/25/2023,10077,104,8/15/2023,8/23/2023,3,1
100000302,1485,10/26/2023,10038,103,11/19/2023,11/29/2023,1,1
100000303,1476,4/6/2023,10073,102,5/3/2023,5/13/2023,2,0
100000304,1309,6/21/2023,10006,108,7/19/2023,7/28/2023,6,0
100000305,1086,12/1/2023,10094,107,12/10/2023,12/12/2023,3,1
100000306,1022,4/6/2023,10068,103,4/12/2023,4/13/2023,2,0
100000307,1285,5/29/2023,10010,109,7/31/2023,8/6/2023,4,1
100000308,1139,10/18/2023,10047,109,10/26/2023,11/4/2023,4,1
100000309,1096,9/4/2023,10004,107,9/17/2023,9/18/2023,2,1
100000310,1254,12/20/2023,10007,104,3/12/2024,3/17/2024,5,0
100000311,1261,4/7/2023,10022,107,6/21/2023,6/30/2023,3,0
100000312,1003,2/28/2023,10064,100,4/24/2023,5/3/2023,5,1
100000313,1311,12/15/2023,10011,100,1/29/2024,2/4/2024,2,1
100000314,1301,5/20/2023,10019,100,5/24/2023,5/30/2023,4,0
100000315,1364,8/18/2023,10013,100,8/23/2023,8/29/2023,5,0
100000316,1471,7/6/2023,10020,103,8/29/2023,9/4/2023,4,1
100000317,1114,9/6/2023,10026,100,11/23/2023,12/3/2023,2,1
100000318,1017,6/20/2023,10037,103,7/6/2023,7/16/2023,1,1
100000319,1219,7/12/2023,10087,109,9/5/2023,9/9/2023,1,1
100000320,1261,12/10/2023,10049,102,2/5/2024,2/11/2024,5,1
100000321,1460,8/23/2023,10056,102,10/14/2023,10/17/2023,1,1
100000322,1210,4/23/2023,10092,107,7/21/2023,7/22/2023,1,1
100000323,1302,6/28/2023,10000,100,7/7/2023,7/15/2023,2,0
100000324,1016,11/14/2023,10008,108,11/24/2023,11/29/2023,4,1
100000325,1252,6/17/2023,10007,101,8/27/2023,9/2/2023,3,1
100000326,1441,8/3/2023,10072,104,8/22/2023,9/1/2023,4,1
100000327,1337,3/27/2023,10063,105,5/3/2023,5/6/2023,1,0
100000328,1447,7/22/2023,10021,107,9/20/2023,9/23/2023,3,0
100000329,1438,4/27/2023,10065,108,7/11/2023,7/20/2023,4,1
100000330,1435,8/13/2023,10088,103,8/17/2023,8/22/2023,6,0
100000331,1453,11/4/2023,10031,100,1/12/2024,1/22/2024,1,1
100000332,1248,7/29/2023,10042,101,8/9/2023,8/13/2023,4,0
100000333,1273,8/31/2023,10081,107,11/13/2023,11/14/2023,1,1
100000334,1143,10/25/2023,10044,101,11/9/2023,11/18/2023,1,1
100000335,1065,3/26/2023,10006,108,5/28/2023,6/1/2023,5,1
100000336,1267,3/13/2023,10045,109,5/17/2023,5/20/2023,3,0
100000337,1218,4/6/2023,10000,108,5/2/2023,5/7/2023,5,1
100000338,1188,3/18/2023,10030,100,4/7/2023,4/12/2023,3,0
100000339,1467,12/10/2023,10094,102,12/28/2023,12/31/2023,1,0
100000340,1308,3/26/2023,10073,102,4/7/2023,4/9/2023,3,0
100000341,1352,10/5/2023,10097,103,12/24/2023,12/26/2023,3,0
100000342,1027,9/8/2023,10075,109,12/2/2023,12/3/2023,4,1
100000343,1224,7/22/2023,10051,109,9/25/2023,9/26/2023,3,0
100000344,1162,10/9/2023,10011,101,12/20/2023,12/25/2023,3,1
100000345,1127,2/22/2023,10034,106,2/24/2023,2/27/2023,4,1
100000346,1370,4/22/2023,10005,106,5/13/2023,5/22/2023,6,0
100000347,1018,5/27/2023,10098,108,7/17/2023,7/23/2023,3,1
100000348,1382,10/29/2023,10094,100,1/4/2024,1/6/2024,5,0
100000349,1403,1/27/2023,10063,105,2/15/2023,2/19/2023,6,0
100000350,1206,12/12/2023,10067,108,2/13/2024,2/17/2024,3,0
100000351,1292,11/11/2023,10047,106,11/17/2023,11/24/2023,4,1
100000352,1450,2/15/2023,10018,107,5/4/2023,5/7/2023,2,0
100000353,1021,5/26/2023,10029,101,8/24/2023,8/31/2023,1,0
100000354,1169,5/29/2023,10082,102,6/15/2023,6/18/2023,2,0
100000355,1337,10/8/2023,10005,108,11/5/2023,11/7/2023,2,0
100000356,1060,7/18/2023,10013,109,9/23/2023,9/30/2023,2,0
100000357,1176,4/28/2023,10007,109,6/24/2023,6/29/2023,2,1
100000358,1456,3/11/2023,10019,103,4/8/2023,4/11/2023,2,1
100000359,1498,8/15/2023,10058,105,10/23/2023,10/29/2023,3,0
100000360,1400,10/21/2023,10035,100,11/3/2023,11/8/2023,5,0
100000361,1437,8/9/2023,10039,108,10/14/2023,10/22/2023,3,0
100000362,1170,9/8/2023,10075,107,9/14/2023,9/15/2023,5,0
100000363,1450,1/12/2023,10034,106,1/23/2023,1/26/2023,2,0
100000364,1011,5/19/2023,10045,100,7/8/2023,7/10/2023,5,1
100000365,1339,2/8/2023,10019,107,4/26/2023,4/30/2023,4,0
100000366,1200,11/23/2023,10046,106,12/19/2023,12/24/2023,2,0
100000367,1382,4/17/2023,10059,102,5/16/2023,5/21/2023,4,0
100000368,1097,2/17/2023,10015,109,2/25/2023,3/4/2023,3,1
100000369,1426,10/18/2023,10030,105,10/26/2023,11/1/2023,2,1
100000370,1133,4/30/2023,10015,102,7/18/2023,7/22/2023,1,1
100000371,1252,3/24/2023,10088,107,5/26/2023,5/30/2023,4,0
100000372,1143,8/23/2023,10097,101,8/31/2023,9/6/2023,2,1
100000373,1480,10/9/2023,10031,105,10/12/2023,10/20/2023,2,1
100000374,1312,3/5/2023,10068,103,3/25/2023,4/1/2023,4,1
